video_id,label,place,video_no,frame_count,width,height
1_4_50,1,4,50,337,856,480
0_4_6,0,4,6,327,856,480
0_4_9,0,4,9,2325,856,480
0_4_10,0,4,10,350,856,480
0_4_12,0,4,12,950,856,480
0_4_13,0,4,13,450,856,480
0_4_15,0,4,15,375,856,480
0_4_19,0,4,19,725,856,480
0_4_20,0,4,20,550,856,480
0_5_1,0,5,1,841,856,480
1_5_18,1,5,18,481,856,480
0_5_2,0,5,2,769,856,480
1_5_20,1,5,20,649,856,480
1_5_21,1,5,21,409,856,480
1_5_22,1,5,22,337,856,480
1_5_24,1,5,24,433,856,480
0_5_3,0,5,3,1273,856,480
0_5_6,0,5,6,1057,856,480
0_5_7,0,5,7,745,856,480
0_5_8,0,5,8,481,856,480
0_5_11,0,5,11,816,856,480
0_5_12,0,5,12,816,856,480
0_5_14,0,5,14,865,856,480
0_5_15,0,5,15,1417,856,480
0_5_17,0,5,17,808,856,480
0_5_19,0,5,19,809,856,480
0_5_20,0,5,20,1321,856,480
0_5_22,0,5,22,732,856,480
0_5_24,0,5,24,732,856,480
0_5_27,0,5,27,841,856,480
0_5_29,0,5,29,877,856,480
0_5_31,0,5,31,1201,856,480
0_5_32,0,5,32,769,856,480
0_5_35,0,5,35,1345,856,480
0_5_36,0,5,36,1020,856,480
0_5_37,0,5,37,1021,856,480
0_5_40,0,5,40,780,856,480
0_5_42,0,5,42,781,856,480
0_5_46,0,5,46,768,856,480
0_5_47,0,5,47,738,856,480
0_5_50,0,5,50,739,856,480
0_5_51,0,5,51,720,856,480
0_5_52,0,5,52,721,856,480
0_5_53,0,5,53,737,856,480
0_5_55,0,5,55,737,856,480
0_5_59,0,5,59,739,856,480
0_5_63,0,5,63,1273,856,480
0_5_66,0,5,66,721,856,480
0_6_1,0,6,1,763,856,480
0_6_2,0,6,2,764,856,480
0_6_4,0,6,4,471,856,480
0_6_5,0,6,5,725,856,480
0_6_7,0,6,7,725,856,480
0_6_8,0,6,8,1119,856,480
0_6_10,0,6,10,255,856,480
0_6_12,0,6,12,615,856,480
0_6_13,0,6,13,845,856,480
0_6_14,0,6,14,845,856,480
1_6_145,1,6,145,217,856,480
1_6_147,1,6,147,265,856,480
1_6_150,1,6,150,265,856,480
1_6_155,1,6,155,265,856,480
0_6_16,0,6,16,722,856,480
0_6_19,0,6,19,722,856,480
0_6_23,0,6,23,1143,856,480
0_6_24,0,6,24,567,856,480
0_6_25,0,6,25,1023,856,480
0_6_27,0,6,27,753,856,480
1_7_5,1,7,5,409,856,480
1_7_7,1,7,7,481,856,480
1_7_9,1,7,9,313,856,480
0_7_1,0,7,1,649,856,480
0_7_3,0,7,3,500,856,480
0_7_4,0,7,4,350,856,480
1_7_47,1,7,47,601,856,480
1_7_49,1,7,49,481,856,480
0_7_6,0,7,6,600,856,480
0_7_7,0,7,7,200,856,480
0_8_3,0,8,3,768,856,480
1_8_44,1,8,44,313,856,480
0_8_5,0,8,5,769,856,480
1_8_78,1,8,78,217,856,480
1_8_79,1,8,79,241,856,480
0_8_9,0,8,9,1105,856,480
0_8_12,0,8,12,784,856,480
0_8_13,0,8,13,784,856,480
0_8_14,0,8,14,785,856,480
0_8_15,0,8,15,577,856,480
1_8_156,1,8,156,337,856,480
1_8_159,1,8,159,265,856,480
0_8_17,0,8,17,936,856,480
1_8_178,1,8,178,265,856,480
1_8_179,1,8,179,337,856,480
0_8_18,0,8,18,937,856,480
0_8_19,0,8,19,876,856,480
0_8_20,0,8,20,877,856,480
0_8_22,0,8,22,816,856,480
0_8_26,0,8,26,1081,856,480
0_8_27,0,8,27,1369,856,480
0_8_31,0,8,31,800,856,480
0_8_33,0,8,33,801,856,480
0_8_35,0,8,35,805,856,480
0_8_36,0,8,36,1153,856,480
0_8_38,0,8,38,725,856,480
0_8_39,0,8,39,725,856,480
0_8_40,0,8,40,725,856,480
0_8_41,0,8,41,725,856,480
0_8_42,0,8,42,725,856,480
0_8_44,0,8,44,797,856,480
0_8_49,0,8,49,1417,856,480
0_9_1,0,9,1,1407,856,480
0_9_4,0,9,4,1167,856,480
1_9_57,1,9,57,361,856,480
0_9_6,0,9,6,800,856,480
0_9_8,0,9,8,750,856,480
0_9_9,0,9,9,1000,856,480
0_9_10,0,9,10,650,856,480
0_10_1,0,10,1,447,856,480
0_10_2,0,10,2,875,856,480
0_10_3,0,10,3,1450,856,480
1_10_37,1,10,37,433,856,480
0_10_6,0,10,6,725,856,480
0_10_7,0,10,7,800,856,480
1_10_74,1,10,74,601,856,480
1_10_75,1,10,75,505,856,480
0_10_10,0,10,10,1100,856,480
0_11_1,0,11,1,550,856,480
0_11_2,0,11,2,1350,856,480
0_11_7,0,11,7,475,856,480
0_11_8,0,11,8,625,856,480
0_11_9,0,11,9,1800,856,480
0_11_10,0,11,10,525,856,480
1_11_176,1,11,176,337,856,480
0_12_2,0,12,2,750,856,480
0_12_3,0,12,3,725,856,480
0_12_5,0,12,5,1175,856,480
0_12_6,0,12,6,875,856,480
0_12_9,0,12,9,900,856,480
0_12_10,0,12,10,1396,856,480
0_12_13,0,12,13,4169,856,480
0_12_14,0,12,14,4119,856,480
1_12_143,1,12,143,265,856,480
1_12_148,1,12,148,313,856,480
1_12_149,1,12,149,241,856,480
1_12_152,1,12,152,361,856,480
1_12_154,1,12,154,385,856,480
1_12_175,1,12,175,265,856,480
0_13_2,0,13,2,649,856,480
0_13_3,0,13,3,649,856,480
0_13_4,0,13,4,937,856,480
